sam,given_name,surname,department,title,ou
hebac,Henrik,Bach,IT,IT-chef,"OU=IT,OU=Administration"
emchr,Emil,Christensen,HR,HR-chef,"OU=HR,OU=Administration"
maras,Malene,Rasmussen,Finans,Oekonomichef,"OU=Finans,OU=Administration"
jetho,Jens,Thomsen,Lager,Lagerchef,OU=Lager
kahol,Kasper,Holm,IT,IT-supporter,"OU=IT,OU=Administration"
thpou,Thomas,Poulsen,HR,Loenadministrator,"OU=HR,OU=Administration"
liand,Lise,Andersen,Finans,Controller,"OU=Finans,OU=Administration"
boeri,Bo,Eriksen,Lager,Truckfoerer,OU=Lager
madah,Mads,Dahl,IT,Netvaerksadministrator,"OU=IT,OU=Administration"
raped,Rasmus,Pedersen,HR,HR-partner,"OU=HR,OU=Administration"
trkja,Troels,Kjaer,Finans,Regnskabsassistent,"OU=Finans,OU=Administration"
jehol,Jens,Holm,Lager,Lagerassistent,OU=Lager
tijen,Tina,Jensen,IT,Systemadministrator,"OU=IT,OU=Administration"
maped,Mads,Pedersen,HR,HR-konsulent,"OU=HR,OU=Administration"
dotho,Dorthe,Thomsen,Finans,Bogholder,"OU=Finans,OU=Administration"
emsoe,Emil,Soerensen,Lager,Lagermedarbejder,OU=Lager
anfre,Anders,Frederiksen,IT,IT-supporter,"OU=IT,OU=Administration"
limoe,Lise,Moeller,HR,Loenadministrator,"OU=HR,OU=Administration"
lakja,Lars,Kjaer,Finans,Controller,"OU=Finans,OU=Administration"
chchr,Christian,Christensen,Lager,Truckfoerer,OU=Lager
emmad,Emil,Madsen,IT,Netvaerksadministrator,"OU=IT,OU=Administration"
lalun,Lars,Lund,HR,HR-partner,"OU=HR,OU=Administration"
nikri,Niels,Kristensen,Finans,Regnskabsassistent,"OU=Finans,OU=Administration"
mosch,Morten,Schmidt,Lager,Lagerassistent,OU=Lager
nihan,Niels,Hansen,IT,Systemadministrator,"OU=IT,OU=Administration"
maols,Maja,Olsen,HR,HR-konsulent,"OU=HR,OU=Administration"
mimad,Mikkel,Madsen,Finans,Bogholder,"OU=Finans,OU=Administration"
ember,Emma,Berg,Lager,Lagermedarbejder,OU=Lager
maeri,Martin,Eriksen,IT,IT-supporter,"OU=IT,OU=Administration"
dodah,Dorthe,Dahl,HR,Loenadministrator,"OU=HR,OU=Administration"
